run,status,output
1,251,"ERC721_merge.sol:2:1: Warning: Source file does not specify required compiler version!
Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: ERROR
 - ERC721_merge.sol:44:5: Postcondition '_owner != address(0)' might not hold at end of function.
Refinement::ownerOf_pre: OK
Refinement::ownerOf_post: OK
Refinement::approve_pre: OK
Refinement::getApproved_pre: OK
Refinement::getApproved_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: ERROR
 - ERC721_merge.sol:123:5: Postcondition '_to != address(0)' might not hold at end of function.
 - ERC721_merge.sol:123:5: Postcondition 'con._tokenApprovals[_tokenId] == address(0)' might not hold at end of function.
 - ERC721_merge.sol:123:5: Postcondition 'con._tokenOwner[_tokenId] != con_old._tokenOwner[_tokenId] || con._tokenOwner[_tokenId] == _from' might not hold at end of function.
Refinement::safeTransferFrom_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: OK
Refinement::[implicit_constructor]: OK
Errors were found by the verifier.
"
2,251,"ERC721_merge.sol:2:1: Warning: Source file does not specify required compiler version!
Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: ERROR
 - ERC721_merge.sol:44:5: Postcondition '_owner != address(0)' might not hold at end of function.
Refinement::ownerOf_pre: OK
Refinement::ownerOf_post: OK
Refinement::approve_pre: OK
Refinement::getApproved_pre: OK
Refinement::getApproved_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: ERROR
 - ERC721_merge.sol:122:5: Postcondition '_to != address(0)' might not hold at end of function.
 - ERC721_merge.sol:122:5: Postcondition 'con._ownedTokensCount[_from] == con_old._ownedTokensCount[_from] - (_from != _to ? 1 : 0)' might not hold at end of function.
 - ERC721_merge.sol:122:5: Postcondition 'con._tokenApprovals[_tokenId] == address(0)' might not hold at end of function.
Refinement::safeTransferFrom_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: OK
Refinement::[implicit_constructor]: OK
Errors were found by the verifier.
"
3,251,"ERC721_merge.sol:2:1: Warning: Source file does not specify required compiler version!
Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: ERROR
 - ERC721_merge.sol:44:5: Postcondition '_owner != address(0)' might not hold at end of function.
Refinement::ownerOf_pre: OK
Refinement::ownerOf_post: OK
Refinement::approve_pre: OK
Refinement::getApproved_pre: OK
Refinement::getApproved_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: ERROR
 - ERC721_merge.sol:122:5: Postcondition '_to != address(0)' might not hold at end of function.
 - ERC721_merge.sol:122:5: Postcondition 'con._tokenApprovals[_tokenId] == address(0)' might not hold at end of function.
 - ERC721_merge.sol:122:5: Postcondition 'con._ownedTokensCount[_from] == con_old._ownedTokensCount[_from] - 1 || con._ownedTokensCount[_from] == con_old._ownedTokensCount[_from]' might not hold at end of function.
 - ERC721_merge.sol:122:5: Postcondition 'con._ownedTokensCount[_to] == con_old._ownedTokensCount[_to] + 1 || con._ownedTokensCount[_to] == con_old._ownedTokensCount[_to]' might not hold at end of function.
Refinement::safeTransferFrom_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: OK
Refinement::[implicit_constructor]: OK
Errors were found by the verifier.
"
4,251,"ERC721_merge.sol:2:1: Warning: Source file does not specify required compiler version!
Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: ERROR
 - ERC721_merge.sol:44:5: Postcondition '_owner != address(0) || balance == 0' might not hold at end of function.
Refinement::ownerOf_pre: OK
Refinement::ownerOf_post: OK
Refinement::approve_pre: OK
Refinement::getApproved_pre: OK
Refinement::getApproved_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: ERROR
 - ERC721_merge.sol:126:5: Postcondition '_to != address(0)' might not hold at end of function.
 - ERC721_merge.sol:126:5: Postcondition 'con._tokenOwner[_tokenId] != con_old._tokenOwner[_tokenId] || con._tokenOwner[_tokenId] == _from' might not hold at end of function.
 - ERC721_merge.sol:126:5: Postcondition 'con._tokenApprovals[_tokenId] == address(0)' might not hold at end of function.
 - ERC721_merge.sol:126:5: Postcondition 'con._ownedTokensCount[_to] == con_old._ownedTokensCount[_to] + (1 * (_from != _to ? 1 : 0))' might not hold at end of function.
Refinement::safeTransferFrom_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: ERROR
 - ERC721_merge.sol:159:5: Postcondition '_to != address(0)' might not hold at end of function.
 - ERC721_merge.sol:159:5: Postcondition 'con._tokenApprovals[_tokenId] == address(0)' might not hold at end of function.
 - ERC721_merge.sol:159:5: Postcondition 'con._ownedTokensCount[_to] == con_old._ownedTokensCount[_to] || con._ownedTokensCount[_to] == con_old._ownedTokensCount[_to] + 1' might not hold at end of function.
 - ERC721_merge.sol:159:5: Postcondition 'con._ownedTokensCount[_from] == con_old._ownedTokensCount[_from] || con._ownedTokensCount[_from] == con_old._ownedTokensCount[_from] - 1' might not hold at end of function.
Refinement::[implicit_constructor]: OK
Errors were found by the verifier.
"
5,251,"ERC721_merge.sol:2:1: Warning: Source file does not specify required compiler version!
Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: ERROR
 - ERC721_merge.sol:44:5: Postcondition '_owner != address(0)' might not hold at end of function.
Refinement::ownerOf_pre: OK
Refinement::ownerOf_post: OK
Refinement::approve_pre: OK
Refinement::getApproved_pre: OK
Refinement::getApproved_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: ERROR
 - ERC721_merge.sol:95:5: Postcondition 'forall (address owner) !(msg.sender == owner) || con._ownedTokensCount[owner] == con_old._ownedTokensCount[owner]' might not hold at end of function.
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: ERROR
 - ERC721_merge.sol:127:5: Postcondition '_to != address(0)' might not hold at end of function.
 - ERC721_merge.sol:127:5: Postcondition 'con._tokenApprovals[_tokenId] == address(0)' might not hold at end of function.
 - ERC721_merge.sol:127:5: Postcondition 'con._tokenOwner[_tokenId] != con_old._tokenOwner[_tokenId] || con._tokenOwner[_tokenId] == _from' might not hold at end of function.
Refinement::safeTransferFrom_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: OK
Refinement::[implicit_constructor]: OK
Errors were found by the verifier.
"
6,251,"ERC721_merge.sol:2:1: Warning: Source file does not specify required compiler version!
Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: ERROR
 - ERC721_merge.sol:44:5: Postcondition '_owner != address(0) || balance == 0' might not hold at end of function.
Refinement::ownerOf_pre: OK
Refinement::ownerOf_post: OK
Refinement::approve_pre: OK
Refinement::getApproved_pre: OK
Refinement::getApproved_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: ERROR
 - ERC721_merge.sol:93:5: Postcondition 'forall (address operator) con._operatorApprovals[msg.sender][operator] == con_old._operatorApprovals[msg.sender][operator] || operator == _operator' might not hold at end of function.
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: ERROR
 - ERC721_merge.sol:126:5: Postcondition '_to != address(0)' might not hold at end of function.
 - ERC721_merge.sol:126:5: Postcondition 'con_old._tokenOwner[_tokenId] == _from' might not hold at end of function.
 - ERC721_merge.sol:126:5: Postcondition 'con._tokenApprovals[_tokenId] == address(0)' might not hold at end of function.
 - ERC721_merge.sol:126:5: Postcondition 'con._tokenOwner[_tokenId] != con_old._tokenOwner[_tokenId] || con._tokenOwner[_tokenId] == _from' might not hold at end of function.
Refinement::safeTransferFrom_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: OK
Refinement::[implicit_constructor]: OK
Errors were found by the verifier.
"
7,251,"ERC721_merge.sol:2:1: Warning: Source file does not specify required compiler version!
Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: ERROR
 - ERC721_merge.sol:44:5: Postcondition '_owner != address(0)' might not hold at end of function.
Refinement::ownerOf_pre: OK
Refinement::ownerOf_post: OK
Refinement::approve_pre: OK
Refinement::getApproved_pre: OK
Refinement::getApproved_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: ERROR
 - ERC721_merge.sol:94:5: Postcondition 'forall (address owner) !(msg.sender == owner) || con._ownedTokensCount[owner] == con_old._ownedTokensCount[owner]' might not hold at end of function.
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: ERROR
 - ERC721_merge.sol:126:5: Postcondition '_to != address(0)' might not hold at end of function.
 - ERC721_merge.sol:126:5: Postcondition 'con._tokenApprovals[_tokenId] == address(0)' might not hold at end of function.
 - ERC721_merge.sol:126:5: Postcondition 'con._tokenOwner[_tokenId] != con_old._tokenOwner[_tokenId] || con._tokenOwner[_tokenId] == _from' might not hold at end of function.
Refinement::safeTransferFrom_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: OK
Refinement::[implicit_constructor]: OK
Errors were found by the verifier.
"
8,251,"ERC721_merge.sol:2:1: Warning: Source file does not specify required compiler version!
Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: ERROR
 - ERC721_merge.sol:44:5: Postcondition '_owner != address(0)' might not hold at end of function.
Refinement::ownerOf_pre: OK
Refinement::ownerOf_post: OK
Refinement::approve_pre: OK
Refinement::getApproved_pre: OK
Refinement::getApproved_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: ERROR
 - ERC721_merge.sol:92:5: Postcondition 'forall (address owner) !(msg.sender == owner) || con._ownedTokensCount[owner] == con_old._ownedTokensCount[owner]' might not hold at end of function.
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: ERROR
 - ERC721_merge.sol:123:5: Postcondition '_to != address(0)' might not hold at end of function.
 - ERC721_merge.sol:123:5: Postcondition 'con._tokenOwner[_tokenId] != con_old._tokenOwner[_tokenId] || con._tokenApprovals[_tokenId] == address(0)' might not hold at end of function.
Refinement::safeTransferFrom_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: OK
Refinement::[implicit_constructor]: OK
Errors were found by the verifier.
"
9,251,"ERC721_merge.sol:2:1: Warning: Source file does not specify required compiler version!
Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::ownerOf_pre: OK
Refinement::ownerOf_post: OK
Refinement::approve_pre: OK
Refinement::getApproved_pre: OK
Refinement::getApproved_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: ERROR
 - ERC721_merge.sol:94:5: Postcondition 'forall (address operator) con._operatorApprovals[msg.sender][operator] == con_old._operatorApprovals[msg.sender][operator] || operator == _operator' might not hold at end of function.
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: ERROR
 - ERC721_merge.sol:125:5: Postcondition '_to != address(0)' might not hold at end of function.
 - ERC721_merge.sol:125:5: Postcondition 'con._ownedTokensCount[_from] == con_old._ownedTokensCount[_from] - ( _from == _to ? 0 : 1 )' might not hold at end of function.
 - ERC721_merge.sol:125:5: Postcondition 'con._tokenApprovals[_tokenId] == address(0)' might not hold at end of function.
Refinement::safeTransferFrom_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: ERROR
 - ERC721_merge.sol:158:5: Postcondition '_to != address(0)' might not hold at end of function.
 - ERC721_merge.sol:158:5: Postcondition 'con._tokenApprovals[_tokenId] == address(0)' might not hold at end of function.
 - ERC721_merge.sol:158:5: Postcondition 'con._ownedTokensCount[_to] == con_old._ownedTokensCount[_to] + (1 - (_from == _to ? 1 : 0))' might not hold at end of function.
Refinement::[implicit_constructor]: OK
Errors were found by the verifier.
"
10,251,"ERC721_merge.sol:2:1: Warning: Source file does not specify required compiler version!
Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: ERROR
 - ERC721_merge.sol:44:5: Postcondition '_owner != address(0)' might not hold at end of function.
Refinement::ownerOf_pre: OK
Refinement::ownerOf_post: OK
Refinement::approve_pre: OK
Refinement::getApproved_pre: OK
Refinement::getApproved_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: ERROR
 - ERC721_merge.sol:124:5: Postcondition '_to != address(0)' might not hold at end of function.
 - ERC721_merge.sol:124:5: Postcondition 'con._tokenApprovals[_tokenId] == address(0)' might not hold at end of function.
 - ERC721_merge.sol:124:5: Postcondition 'con._tokenOwner[_tokenId] != con_old._tokenOwner[_tokenId] || con._tokenOwner[_tokenId] == _from' might not hold at end of function.
Refinement::safeTransferFrom_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: ERROR
 - ERC721_merge.sol:157:5: Postcondition '_to != address(0)' might not hold at end of function.
 - ERC721_merge.sol:157:5: Postcondition 'con._tokenApprovals[_tokenId] == address(0)' might not hold at end of function.
Refinement::[implicit_constructor]: OK
Errors were found by the verifier.
"
